,journal,num_papers,success,error,no_code,no_labels
0,sciencedirect,133,0,0,133,18
2,springer,127,0,127,0,20
1,jeb,127,94,33,0,19
3,nature,94,52,42,0,30
4,royalsocietypublishing,80,78,2,0,10
5,science,69,0,0,69,22
6,pnas,67,65,2,0,17
7,onlinelibrary,63,0,0,63,12
8,pubmed,57,45,12,0,10
9,oup,44,0,0,44,9
10,jstor,38,0,0,38,7
11,plos,38,36,2,0,6
12,cell,28,0,0,28,5
13,acs,26,0,0,26,7
14,tandfonline,23,0,0,23,2
15,ncbi,23,0,0,23,3
16,uchicago,21,0,0,21,2
17,iopscience,19,0,0,19,3
18,annualreviews,15,0,0,15,5
19,bioone,13,0,0,13,2
20,esajournals,12,0,0,12,6
21,cambridge,12,0,0,12,1
22,bsapubs,11,0,0,11,3
23,rsc,11,0,0,11,4
24,aps,11,0,0,11,0
25,jbc,10,0,0,10,3
27,nrcresearchpress,8,0,0,8,0
26,nph,8,0,0,8,2
28,besjournals,7,0,0,7,2
30,sfamjournals,7,0,0,7,3
31,aip,7,0,0,7,0
32,plantphysiol,7,0,0,7,2
29,doi,7,0,0,7,1
33,physiology,5,0,0,5,1
34,semanticscholar,5,0,0,5,1
35,aem,5,0,0,5,3
36,int-res,5,0,0,5,0
37,researchgate,5,0,0,5,2
38,aslopubs,5,0,0,5,1
43,chemistry-europe,3,0,0,3,1
45,publish,3,0,0,3,1
44,dx,3,0,0,3,1
40,sagepub,3,0,0,3,0
42,osapublishing,3,0,0,3,0
41,frontiersin,3,0,0,3,0
39,citeseerx,3,0,0,3,0
52,plantcell,2,0,0,2,0
57,spandidos-publications,2,0,0,2,0
56,scielo,2,0,0,2,1
55,brill,2,0,0,2,2
54,iwaponline,2,0,0,2,0
53,microbiologyresearch,2,0,0,2,0
47,ingentaconnect,2,0,0,2,0
51,agupubs,2,0,0,2,0
46,books,2,0,0,2,0
49,europepmc,2,0,0,2,1
48,ieeexplore,2,0,0,2,0
50,ebscohost,2,0,0,2,1
110,avs,1,0,0,1,0
109,orbit,1,0,0,1,0
108,mbio,1,0,0,1,0
107,jhr,1,0,0,1,1
106,deepblue,1,0,0,1,0
105,rd,1,0,0,1,0
104,portlandpress,1,0,0,1,0
103,2008,1,0,0,1,0
112,apidologie,1,0,0,1,0
102,academicjournals,1,0,0,1,0
101,osti,1,0,0,1,0
100,jci,1,0,0,1,0
99,beilstein-journals,1,0,0,1,0
98,archive,1,0,0,1,1
97,bjo,1,0,0,1,0
96,jcs,1,0,0,1,1
111,mmbr,1,0,0,1,0
115,scientific,1,0,0,1,0
113,environmentalevidencejournal,1,0,0,1,0
114,drive,1,0,0,1,0
94,jcm,1,0,0,1,0
129,yumpu,1,0,0,1,0
128,watermark,1,0,0,1,0
127,uni-regensburg,1,0,0,1,0
126,acsess,1,0,0,1,1
125,ui,1,0,0,1,0
124,thescipub,1,0,0,1,0
123,members,1,0,0,1,0
122,sciencemag,1,0,0,1,0
121,geoscienceworld,1,0,0,1,1
120,jov,1,0,0,1,0
119,repository,1,0,0,1,0
118,conservationgateway,1,0,0,1,0
117,meridian,1,0,0,1,0
116,climatechange,1,0,0,1,1
95,physoc,1,0,0,1,0
65,bmcevolbiol,1,0,0,1,0
93,crossref,1,0,0,1,0
92,airtable,1,0,0,1,0
73,csme,1,0,0,1,0
72,ro,1,0,0,1,0
71,bmcbiol,1,0,0,1,0
70,frontiersinzoology,1,0,0,1,1
69,publications,1,0,0,1,1
68,scribd,1,0,0,1,0
67,ec,1,0,0,1,1
66,eurekaselect,1,0,0,1,0
64,infona,1,0,0,1,1
63,jlimnol,1,0,0,1,0
62,nghub,1,0,0,1,0
61,core,1,0,0,1,0
60,kuscholarworks,1,0,0,1,0
59,jb,1,0,0,1,0
58,mdpi,1,0,0,1,0
74,pubag,1,0,0,1,1
75,drs,1,0,0,1,1
76,agris,1,0,0,1,0
85,omicsonline,1,0,0,1,0
91,jamanetwork,1,0,0,1,1
90,jstage,1,0,0,1,0
89,spo,1,0,0,1,1
88,stke,1,0,0,1,0
87,thefreelibrary,1,0,0,1,0
86,jnanobiotechnology,1,0,0,1,0
84,cs,1,0,0,1,0
77,physicstoday,1,0,0,1,1
83,rupress,1,0,0,1,0
82,karger,1,0,0,1,0
81,umdberg,1,0,0,1,1
80,asa,1,0,0,1,1
79,uregina,1,0,0,1,1
78,web,1,0,0,1,0
130,zslpublications,1,0,0,1,0
