,index,DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
0,0,,,,Comparative Biomechanics: Life's Physical World,https://zslpublications.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7998.1973.tb04553.x,,,"Store energy,Modify/convert mechanical energy","Store energy,Transform mechanical energy",
1,1,,,,Toward Biomimetic Architecture,https://www.yumpu.com/en/document/read/40748212/toward-biomimetic-architecture-annapujadascat,,,"Attach temporarily,Manage stress/strain,Manage impact","Attach temporarily,Manage compression,Manage impact",
2,2,,,,"""Twelfth International Hibernation Symposium, Institute of Arctic Biology, University of Alaska, Fairbanks""",https://www.uregina.ca/science/biology/people/faculty-research/brigham-mark/files/Woods_and_Brigham_2004_LITC.pdf,,,,Maintain homeostasis,
3,3,,,,Mechanics of Advanced Materials and Structures,https://www.tandfonline.com/doi/pdf/10.1080/15376490590928598,,,"Manage impact,Manage shear,Prevent fracture/rupture","Manage impact,Manage shear,Prevent fracture/rupture",
4,4,,,,"The Private Life of Plants,Plant Signaling & Behavior",https://www.tandfonline.com/doi/full/10.4161/psb.4.9.9426?scroll=top&needAccess=true,,,"Attach permanently,Move through/on solids","Attach permanently,Move in/on solids",
5,5,,,,"The Private Life of Plants,""Bioscience, Biotechnology, and Biochemistry""",https://www.tandfonline.com/doi/abs/10.1271/bbb.100692,,,Send chemical signals,"""Send chemical signals (odor, taste, etc.)""",
6,6,,,,International Journal of Acarology,https://www.tandfonline.com/doi/abs/10.1080/17088180809434786,,,Protect from loss of liquids,Protect from loss of liquids,
7,7,,,,Plant Biosystems,https://www.tandfonline.com/doi/abs/10.1080/11263500600756546,,,Detox/purify,Detoxification/purification of air/water/waste,
8,8,,,,"Communications in Partial Differential Equations,Science","https://www.tandfonline.com/doi/abs/10.1080/03605309508821153
https://science.sciencemag.org/content/331/6014/183",,,"Respond to signals,Sense shape and/or pattern","Coordinate systems,Respond to signals,Sense shape and pattern in a living system",
9,9,,,,Journal of Adhesion,"https://www.tandfonline.com/doi/abs/10.1080/00218460902996952
https://www.tandfonline.com/doi/abs/10.1080/00218460902782279",,,Attach temporarily,Attach temporarily,
