Field 1,DOI,Paper title,Abstract,PDF Link,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
0,,,,,Comparative Biomechanics: Life's Physical World,https://zslpublications.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7998.1973.tb04553.x,"Process resources,Chemically modify or Change energy state","Store resources,Change energy state","Store energy,Modify/convert mechanical energy","Store energy,Transform mechanical energy",
1,,,,,Toward Biomimetic Architecture,https://www.yumpu.com/en/document/read/40748212/toward-biomimetic-architecture-annapujadascat,"Attach,Maintain structural integrity","Attach temporarily,Manage structural forces","Manage stress/strain,Manage impact","Attach temporarily,Manage compression,Manage impact",
2,,,,,"""Twelfth International Hibernation Symposium, Institute of Arctic Biology, University of Alaska, Fairbanks""",https://www.uregina.ca/science/biology/people/faculty-research/brigham-mark/files/Woods_and_Brigham_2004_LITC.pdf,,,,Maintain homeostasis,
3,,,,,Mechanics of Advanced Materials and Structures,https://www.tandfonline.com/doi/pdf/10.1080/15376490590928598,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage impact,Manage shear,Prevent fracture/rupture","Manage impact,Manage shear,Prevent fracture/rupture",
4,,,,,Plant Signaling & Behavior,https://www.tandfonline.com/doi/full/10.4161/psb.4.9.9426?scroll=top&needAccess=true,"Attach,Move","Attach permanently,Active movement",Actively move through/on solids,"Attach permanently,Move in/on solids",
5,,,,,"""Bioscience, Biotechnology, and Biochemistry""",https://www.tandfonline.com/doi/abs/10.1271/bbb.100692,"""Sense, send, or process information""",Send signals,Send chemical signals,"""Send chemical signals (odor, taste, etc.)""",
6,,,,,International Journal of Acarology,https://www.tandfonline.com/doi/abs/10.1080/17088180809434786,Protect from harm,Protect from non-living threats,Protect from loss of liquids,Protect from loss of liquids,
7,,,,,Plant Biosystems,https://www.tandfonline.com/doi/abs/10.1080/11263500600756546,Process resources,Detox/purify,,Detoxification/purification of air/water/waste,
8,,,,,"Communications in Partial Differential Equations,Science",https://www.tandfonline.com/doi/abs/10.1080/03605309508821153,"""Sense, send, or process information""",Process signals,"Respond to signals,Sense shape and/or pattern","Coordinate systems,Respond to signals,Sense shape and pattern in a living system",
9,,,,,"Communications in Partial Differential Equations,Science",https://science.sciencemag.org/content/331/6014/183,"""Sense, send, or process information""",Process signals,"Respond to signals,Sense shape and/or pattern","Coordinate systems,Respond to signals,Sense shape and pattern in a living system",
10,,,,,Journal of Adhesion,https://www.tandfonline.com/doi/abs/10.1080/00218460902996952,Attach,Attach temporarily,,Attach temporarily,
11,,,,,Journal of Adhesion,https://www.tandfonline.com/doi/abs/10.1080/00218460902782279,Attach,Attach temporarily,,Attach temporarily,
12,,,,,The Journal of Adhesion,https://www.tandfonline.com/doi/abs/10.1080/00218460902996788,"Attach,Protect from harm,Chemically modify or Change energy state","Attach permanently,Attach temporarily,Protect from living threats",Protect from microbes,"Attach a functional group,Attach permanently,Attach temporarily,Catalyze chemical breakdown,Chemically assemble polymers,Modify oxidation state,Protect from microbes",
13,,,,,The Journal of Adhesion,https://www.tandfonline.com/doi/abs/10.1080/00218460902996788,Chemically modify or Change energy state,Chemically assemble,Chemically assemble organic compounds,"Catalyze chemical breakdown,Chemically assemble polymers",
14,,,,,"Journal of Adhesion,Macromolecular Bioscience",https://www.tandfonline.com/doi/abs/10.1080/00218460902996457,"Attach,Physically assemble/disassemble","Attach permanently,Physically assemble structure",,"Attach permanently,Physically assemble structure",https://www.eurekalert.org/pub_releases/2008-11/uou-sft112408.php
15,,,,,"Journal of Adhesion,Macromolecular Bioscience",https://www.tandfonline.com/doi/abs/10.1080/00218460902782188,"Attach,Physically assemble/disassemble","Attach permanently,Physically assemble structure",,"Attach permanently,Physically assemble structure",https://www.eurekalert.org/pub_releases/2008-11/uou-sft112408.php
