,DOI,Paper title,Abstract,Journal,URL,Functions,PDF,Press release,publisher
1,10.1242/jeb.226654,Remoras pick where they stick on blue whales,,Journal of Experimental Biology (JEB),https://jeb.biologists.org/content/223/20/jeb226654,,,https://www.sciencedaily.com/releases/2020/10/201028195617.htm,jeb
2,,,,Science,https://www.nature.com/articles/s42004-019-0202-8,,,,nature
129,,,,PNAS,https://www.pnas.org/content/early/2020/03/18/1919607117,Prevent deformation,,https://engineering.princeton.edu/news/2020/03/20/mechanical-forces-shape-bacterial-biofilms-puzzling-patterns,pnas
130,,,,"PNAS,Annual Review of Immunology,General and Comparative Endocrinology",https://www.pnas.org/content/early/2010/10/11/1008768107/tab-article-info,,,https://www.eurekalert.org/pub_releases/2010-10/pues-nsd101910.php,pnas
131,,,,PNAS,https://www.pnas.org/content/early/2009/12/01/0908205107,Chemically assemble mineral crystals,,https://www.eurekalert.org/pub_releases/2009-11/dlnl-swa112309.php,pnas
132,,,,PNAS,https://www.pnas.org/content/112/16/4976,Attach permanently,,,pnas
133,,,,PNAS,https://www.pnas.org/content/112/16/4976,Manage tension,,,pnas
134,,,,PNAS,https://www.pnas.org/content/109/52/21289,"Manage shear,Move in/on solids",,https://issuu.com/eggermont/docs/zq_issue_12/18,pnas
135,,,,PNAS,https://www.pnas.org/content/109/46/18674,Transform radiant energy (light),,"http://pubsapp.acs.org/cen/science/84/8414biolum.html?
https://www.chemistryworld.com/research/fireflies-inspire-low-cost-led-lighting/5573.article",pnas
136,,,,PNAS,https://www.pnas.org/content/109/46/18674,"Distribute energy,Navigate through air",,https://www.chemistryworld.com/research/fireflies-inspire-low-cost-led-lighting/5573.article,pnas
137,,,,PNAS,https://www.pnas.org/content/109/39/15712,"Modify light/color,Send light signals in the visible spectrum",,,pnas
138,,,,PNAS,https://www.pnas.org/content/109/12/E690,Attach permanently,,http://www.ox.ac.uk/news/science-blog/flesh-eating-bacteria-inspire-superglue,pnas
139,,,,"PNAS,Nature",https://www.pnas.org/content/108/Supplement_2/10831,"Cooperate/compete between different species,Protect from microbes",,"https://www.eurekalert.org/pub_releases/2011-06/uow-bdr062011.php
https://www.eurekalert.org/pub_releases/2011-06/uow-bdr062011.php
",pnas
140,,,,PNAS,https://www.pnas.org/content/108/46/18726,"Coordinate by self-organization,Navigate through liquid,Respond to signals",,,pnas
141,,,,"Ecology,Ecological Applications,PNAS",https://www.pnas.org/content/108/41/17034,,,,pnas
142,,,,PNAS,https://www.pnas.org/content/108/41/17028,"Chemically assemble polymers,Protect from chemicals",,,pnas
143,,,,PNAS,https://www.pnas.org/content/108/38/15978,,,https://www.sciencedaily.com/releases/2011/09/110919151306.htm,pnas
144,,,,PNAS,https://www.pnas.org/content/108/34/E550,"Attach temporarily,Move in/on liquids",,,pnas
145,,,,PNAS,https://www.pnas.org/content/108/27/11291,"Sense balance/orientation,Sense motion",,https://www.bbc.com/news/science-environment-13809148,pnas
146,,,,PNAS,https://www.pnas.org/content/108/23/9356,"""Capture, absorb, or filter liquids""",,,pnas
147,,,,PNAS,https://www.pnas.org/content/108/16/6497,"Cooperate/compete between different species,""Capture, absorb, or filter energy"",""Capture, absorb, or filter gases"",""Capture, absorb, or filter organisms""",,https://www.nature.com/news/2010/100730/full/news.2010.384.html,pnas
148,,,,PNAS,https://www.pnas.org/content/108/14/5897,"Catalyze chemical breakdown,Protect from animals",,,pnas
149,,,,PNAS,https://www.pnas.org/content/108/14/5516,"Modify position,Modify size/shape/mass/volume",,http://news.bbc.co.uk/earth/hi/earth_news/newsid_9429000/9429516.stm,pnas
150,,,,PNAS,https://www.pnas.org/content/108/11/4322,"Manage compression,Manage tension,Modify material characteristics",,https://www.eurekalert.org/pub_releases/2011-03/uom-str030111.php,pnas
151,,,,PNAS,https://www.pnas.org/content/108/9/3653,"Modify material characteristics,Modify phase",,,pnas
152,,,,PNAS,https://www.pnas.org/content/108/8/3175,Chemically assemble mineral crystals,,https://schaechter.asmblog.org/schaechter/2011/05/hard-biology.html,pnas
153,,,,PNAS,https://www.pnas.org/content/108/6/2184,"Adapt phenotype,Optimize shape/materials,Regulate cellular processes",,,pnas
154,,,,PNAS,https://www.pnas.org/content/108/3/995,"Chemically assemble polymers,Protect from excess liquids,Protect from gases",,,pnas
155,,,,PNAS,https://www.pnas.org/content/107/44/18903.full,"Modify position,Optimize shape/materials",,,pnas
157,,,,PNAS,https://www.pnas.org/content/107/34/15129,"Expel liquids,Expel solids,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids""",,,pnas
158,,,,PNAS,https://www.pnas.org/content/107/17/7835,"Modify material characteristics,Protect from temperature",,,pnas
159,,,,"PNAS,Bioinspiration & Biomimetics",https://www.pnas.org/content/107/15/7048,"Navigate through air,Sense sound and other vibrations from the environment",,https://blogs.scientificamerican.com/observations/bats-re-tune-echolocation-and-use-the-suns-glow-to-navigate-near-and-far/,pnas
160,,,,PNAS,https://www.pnas.org/content/107/15/6941,"Navigate through air,Sense balance/orientation",,https://blogs.scientificamerican.com/observations/bats-re-tune-echolocation-and-use-the-suns-glow-to-navigate-near-and-far/,pnas
161,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,PNAS,Journal of Experimental Zoology,Proceedings of the Royal Society B",https://www.pnas.org/content/107/12/5495,"Manage mechanical wear,Modify speed,Move in/through gases",,,pnas
162,,,,PNAS,https://www.pnas.org/content/107/11/4820,"Modify position,Move in/through gases,Navigate through air,Protect from wind",,https://www.sciencedaily.com/releases/2010/03/100301151933.htm,pnas
163,,,,PNAS,https://www.pnas.org/content/107/5/2082,"""Capture, absorb, or filter organisms""",,https://www.nature.com/news/2010/100111/full/news.2010.5.html?s=news_rss#B2,pnas
164,,,,PNAS,https://www.pnas.org/content/107/3/987,,,http://news.mit.edu/2010/snail-shell,pnas
165,,,,PNAS,https://www.pnas.org/content/106/48/20210,"Protect from ice,Protect from temperature",,https://www.nytimes.com/2010/01/19/science/19creatures.html,pnas
166,,,,PNAS,https://www.pnas.org/content/106/46/19334,"Protect from temperature,Regulate cellular processes",,,pnas
167,,,,PNAS,https://www.pnas.org/content/106/46/19334,"Protect from chemicals,Protect from loss of liquids,Regulate cellular processes",,https://www.seeker.com/worlds-hardiest-life-form-explained-1764735355.html,pnas
168,,,,"PNAS,Current Biology",https://www.pnas.org/content/106/38/16185,"Maintain homeostasis,Sense temperature cues from the environment",,,pnas
169,,,,PNAS,https://www.pnas.org/content/106/36/15394,"Cooperate/compete between different species,""Capture, absorb, or filter chemical entities""",,https://www.livescience.com/5593-secret-cicada-abundance-bacteria.html,pnas
170,,,,PNAS,https://www.pnas.org/content/106/18/7289,"Manage compression,Manage tension",,,pnas
