,url,title,doi,abstract,full_doc_link,is_open_access
0,https://jeb.biologists.org/content/223/20/jeb226654,Remoras pick where they stick on blue whales,10.1242/jeb.226654,"Animal-borne video recordings from blue whales in the open ocean show that remoras preferentially adhere to specific regions on the surface of the whale. Using empirical and computational fluid dynamics analyses, we show that remora attachment was specific to regions of separating flow and wakes caused by surface features on the whale. Adhesion at these locations offers remoras drag reduction of up to 71–84% compared with the freestream. Remoras were observed to move freely along the surface of the whale using skimming and sliding behaviors. Skimming provided drag reduction as high as 50–72% at some locations for some remora sizes, but little to none was available in regions where few to no remoras were observed. Experimental work suggests that the Venturi effect may help remoras stay near the whale while skimming. Understanding the flow environment around a swimming blue whale will inform the placement of biosensor tags to increase attachment time for extended ecological monitoring.",https://jeb.biologists.org/content/223/20/jeb226654.full.pdf,True
1,https://www.nature.com/articles/s42004-019-0202-8,Liquid–liquid phase separation morphologies in ultra-white beetle scales and a synthetic equivalent,https://doi.org/10.1038/s42004-019-0202-8,"Cyphochilus beetle scales are amongst the brightest structural whites in nature, being highly opacifying whilst extremely thin. However, the formation mechanism for the voided intra-scale structure is unknown. Here we report 3D x-ray nanotomography data for the voided chitin networks of intact white scales of Cyphochilus and Lepidiota stigma. Chitin-filling fractions are found to be 31 ± 2% for Cyphochilus and 34 ± 1% for Lepidiota stigma, indicating previous measurements overestimated their density. Optical simulations using finite-difference time domain for the chitin morphologies and simulated Cahn-Hilliard spinodal structures show excellent agreement. Reflectance curves spanning filling fraction of 5-95% for simulated spinodal structures, pinpoint optimal whiteness for 25% chitin filling. We make a simulacrum from a polymer undergoing a strong solvent quench, resulting in highly reflective (~94%) white films. In-situ X-ray scattering confirms the nanostructure is formed through spinodal decomposition phase separation. We conclude that the ultra-white beetle scale nanostructure is made via liquid–liquid phase separation.",https://www.nature.com/articles/s42004-019-0202-8.pdf,True
2,https://www.pnas.org/content/early/2020/03/18/1919607117,Nonuniform growth and surface friction determine bacterial biofilm morphology on soft substrates,https://doi.org/10.1073/pnas.1919607117,"During development, organisms acquire three-dimensional (3D) shapes with important physiological consequences. While basic mechanisms underlying morphogenesis are known in eukaryotes, it is often difficult to manipulate them in vivo. To circumvent this issue, here we present a study of developing Vibrio cholerae biofilms grown on agar substrates in which the spatiotemporal morphological patterns were altered by varying the agar concentration. Expanding biofilms are initially flat but later undergo a mechanical instability and become wrinkled. To gain mechanistic insights into this dynamic pattern-formation process, we developed a model that considers diffusion of nutrients and their uptake by bacteria, bacterial growth/biofilm matrix production, mechanical deformation of both the biofilm and the substrate, and the friction between them. Our model shows quantitative agreement with experimental measurements of biofilm expansion dynamics, and it accurately predicts two distinct spatiotemporal patterns observed in the experiments—the wrinkles initially appear either in the peripheral region and propagate inward (soft substrate/low friction) or in the central region and propagate outward (stiff substrate/high friction). Our results, which establish that nonuniform growth and friction are fundamental determinants of stress anisotropy and hence biofilm morphology, are broadly applicable to bacterial biofilms with similar morphologies and also provide insight into how other bacterial biofilms form distinct wrinkle patterns. We discuss the implications of forming undulated biofilm morphologies, which may enhance the availability of nutrients and signaling molecules and serve as a “bet hedging” strategy.",https://www.pnas.org/content/early/2020/03/18/1919607117.full.pdf,True
3,https://www.pnas.org/content/early/2009/12/01/0908205107,Subnanometer atomic force microscopy of peptide–mineral interactions links clustering and competition to acceleration and catastrophe,https://doi.org/10.1073/pnas.0908205107,"In vitro observations have revealed major effects on the structure, growth, and composition of biomineral phases, including stabilization of amorphous precursors, acceleration and inhibition of kinetics, and alteration of impurity signatures. However, deciphering the mechanistic sources of these effects has been problematic due to a lack of tools to resolve molecular structures on mineral surfaces during growth. Here we report atomic force microscopy investigations using a system designed to maximize resolution while minimizing contact force. By imaging the growth of calcium-oxalate monohydrate under the influence of aspartic-rich peptides at single-molecule resolution, we reveal how the unique interactions of polypeptides with mineral surfaces lead to acceleration, inhibition, and switching of growth between two distinct states. Interaction with the positively charged face of calcium-oxalate monohydrate leads to formation of a peptide film, but the slow adsorption kinetics and gradual relaxation to a well-bound state result in time-dependent effects. These include a positive feedback between peptide adsorption and step inhibition described by a mathematical catastrophe that results in growth hysteresis, characterized by rapid switching from fast to near-zero growth rates for very small reductions in supersaturation. Interactions with the negatively charged face result in formation of peptide clusters that impede step advancement. The result is a competition between accelerated solute attachment and inhibition due to blocking of the steps by the clusters. The findings have implications for control of pathological mineralization and suggest artificial strategies for directing crystallization.",https://www.pnas.org/content/early/2009/12/01/0908205107.full.pdf,True
4,https://www.pnas.org/content/112/16/4976,New functional insights into the internal architecture of the laminated anchor spicules of Euplectella aspergillum,https://doi.org/10.1073/pnas.1415502112,"To adapt to a wide range of physically demanding environmental conditions, biological systems have evolved a diverse variety of robust skeletal architectures. One such example, Euplectella aspergillum, is a sediment-dwelling marine sponge that is anchored into the sea floor by a flexible holdfast apparatus consisting of thousands of anchor spicules (long, hair-like glassy fibers). Each spicule is covered with recurved barbs and has an internal architecture consisting of a solid core of silica surrounded by an assembly of coaxial silica cylinders, each of which is separated by a thin organic layer. The thickness of each silica cylinder progressively decreases from the spicule’s core to its periphery, which we hypothesize is an adaptation for redistributing internal stresses, thus increasing the overall strength of each spicule. To evaluate this hypothesis, we created a spicule structural mechanics model, in which we fixed the radii of the silica cylinders such that the force transmitted from the surface barbs to the remainder of the skeletal system was maximized. Compared with measurements of these parameters in the native sponge spicules, our modeling results correlate remarkably well, highlighting the beneficial nature of this elastically heterogeneous lamellar design strategy. The structural principles obtained from this study thus provide potential design insights for the fabrication of high-strength beams for load-bearing applications through the modification of their internal architecture, rather than their external geometry.",https://www.pnas.org/content/112/16/4976.full.pdf,True
5,https://www.pnas.org/content/112/16/4976,New functional insights into the internal architecture of the laminated anchor spicules of Euplectella aspergillum,https://doi.org/10.1073/pnas.1415502112,"To adapt to a wide range of physically demanding environmental conditions, biological systems have evolved a diverse variety of robust skeletal architectures. One such example, Euplectella aspergillum, is a sediment-dwelling marine sponge that is anchored into the sea floor by a flexible holdfast apparatus consisting of thousands of anchor spicules (long, hair-like glassy fibers). Each spicule is covered with recurved barbs and has an internal architecture consisting of a solid core of silica surrounded by an assembly of coaxial silica cylinders, each of which is separated by a thin organic layer. The thickness of each silica cylinder progressively decreases from the spicule’s core to its periphery, which we hypothesize is an adaptation for redistributing internal stresses, thus increasing the overall strength of each spicule. To evaluate this hypothesis, we created a spicule structural mechanics model, in which we fixed the radii of the silica cylinders such that the force transmitted from the surface barbs to the remainder of the skeletal system was maximized. Compared with measurements of these parameters in the native sponge spicules, our modeling results correlate remarkably well, highlighting the beneficial nature of this elastically heterogeneous lamellar design strategy. The structural principles obtained from this study thus provide potential design insights for the fabrication of high-strength beams for load-bearing applications through the modification of their internal architecture, rather than their external geometry.",https://www.pnas.org/content/112/16/4976.full.pdf,True
6,https://www.pnas.org/content/109/52/21289,Microstructured barbs on the North American porcupine quill enable easy tissue penetration and difficult removal,https://doi.org/10.1073/pnas.1216441109,"North American porcupines are well known for their specialized hairs, or quills that feature microscopic backward-facing deployable barbs that are used in self-defense. Herein we show that the natural quill’s geometry enables easy penetration and high tissue adhesion where the barbs specifically contribute to adhesion and unexpectedly, dramatically reduce the force required to penetrate tissue. Reduced penetration force is achieved by topography that appears to create stress concentrations along regions of the quill where the cross sectional diameter grows rapidly, facilitating cutting of the tissue. Barbs located near the first geometrical transition zone exhibit the most substantial impact on minimizing the force required for penetration. Barbs at the tip of the quill independently exhibit the greatest impact on tissue adhesion force and the cooperation between barbs in the 0–2 mm and 2–4 mm regions appears critical to enhance tissue adhesion force. The dual functions of barbs were reproduced with replica molded synthetic polyurethane quills. These findings should serve as the basis for the development of bio-inspired devices such as tissue adhesives or needles, trocars, and vascular tunnelers where minimizing the penetration force is important to prevent collateral damage.",https://www.pnas.org/content/109/52/21289.full.pdf,True
7,https://www.pnas.org/content/109/46/18674,Biologically inspired LED lens from cuticular nanostructures of firefly lantern,https://doi.org/10.1073/pnas.1213331109,"Cuticular nanostructures found in insects effectively manage light for light polarization, structural color, or optical index matching within an ultrathin natural scale. These nanostructures are mainly dedicated to manage incoming light and recently inspired many imaging and display applications. A bioluminescent organ, such as a firefly lantern, helps to out-couple light from the body in a highly efficient fashion for delivering strong optical signals in sexual communication. However, the cuticular nanostructures, except the light-producing reactions, have not been well investigated for physical principles and engineering biomimetics. Here we report a unique observation of high-transmission nanostructures on a firefly lantern and its biological inspiration for highly efficient LED illumination. Both numerical and experimental results clearly reveal high transmission through the nanostructures inspired from the lantern cuticle. The nanostructures on an LED lens surface were fabricated by using a large-area nanotemplating and reconfigurable nanomolding with heat-induced shear thinning. The biologically inspired LED lens, distinct from a smooth surface lens, substantially increases light transmission over visible ranges, comparable to conventional antireflection coating. This biological inspiration can offer new opportunities for increasing the light extraction efficiency of high-power LED packages.",https://www.pnas.org/content/109/46/18674.full.pdf,True
8,https://www.pnas.org/content/109/46/18674,Biologically inspired LED lens from cuticular nanostructures of firefly lantern,https://doi.org/10.1073/pnas.1213331109,"Cuticular nanostructures found in insects effectively manage light for light polarization, structural color, or optical index matching within an ultrathin natural scale. These nanostructures are mainly dedicated to manage incoming light and recently inspired many imaging and display applications. A bioluminescent organ, such as a firefly lantern, helps to out-couple light from the body in a highly efficient fashion for delivering strong optical signals in sexual communication. However, the cuticular nanostructures, except the light-producing reactions, have not been well investigated for physical principles and engineering biomimetics. Here we report a unique observation of high-transmission nanostructures on a firefly lantern and its biological inspiration for highly efficient LED illumination. Both numerical and experimental results clearly reveal high transmission through the nanostructures inspired from the lantern cuticle. The nanostructures on an LED lens surface were fabricated by using a large-area nanotemplating and reconfigurable nanomolding with heat-induced shear thinning. The biologically inspired LED lens, distinct from a smooth surface lens, substantially increases light transmission over visible ranges, comparable to conventional antireflection coating. This biological inspiration can offer new opportunities for increasing the light extraction efficiency of high-power LED packages.",https://www.pnas.org/content/109/46/18674.full.pdf,True
9,https://www.pnas.org/content/109/39/15712,Pointillist structural color in Pollia fruit,https://doi.org/10.1073/pnas.1210105109,"Biological communication by means of structural color has existed for at least 500 million years. Structural color is commonly observed in the animal kingdom, but has been little studied in plants. We present a striking example of multilayer-based strong iridescent coloration in plants, in the fruit of Pollia condensata. The color is caused by Bragg reflection of helicoidally stacked cellulose microfibrils that form multilayers in the cell walls of the epicarp. We demonstrate that animals and plants have convergently evolved multilayer-based photonic structures to generate colors using entirely distinct materials. The bright blue coloration of this fruit is more intense than that of any previously described biological material. Uniquely in nature, the reflected color differs from cell to cell, as the layer thicknesses in the multilayer stack vary, giving the fruit a striking pixelated or pointillist appearance. Because the multilayers form with both helicoidicities, optical characterization reveals that the reflected light from every epidermal cell is polarized circularly either to the left or to the right, a feature that has never previously been observed in a single tissue.",https://www.pnas.org/content/109/39/15712.full.pdf,True
